locid;code;name;surface_m2;total_surface
3233;15;Zone for public buildings ;110971;1255946
3233;16;eingeschränkte Bauzonen;6758;1255946
3234;11;Zone for residential use (Wohnzone);747472;1922294
3234;12;Zone for commercial and industrial use (Gewerbe und Industrie);322860;1922294
3234;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);496335;1922294
3234;14;Core zone development (Kernzone Entwicklung);71083;1922294
3234;15;Zone for public buildings ;221524;1922294
3234;16;eingeschränkte Bauzonen;4262;1922294
3234;17;Tourism and leisure zone (Tourismus und FreizeitZone);58758;1922294
3235;11;Zone for residential use (Wohnzone);428484;1022895
3235;12;Zone for commercial and industrial use (Gewerbe und Industrie);189687;1022895
3235;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);119436;1022895
3235;14;Core zone development (Kernzone Entwicklung);70503;1022895
3235;15;Zone for public buildings ;149652;1022895
3235;16;eingeschränkte Bauzonen;51749;1022895
3235;17;Tourism and leisure zone (Tourismus und FreizeitZone);13384;1022895
3236;11;Zone for residential use (Wohnzone);693559;1961832
3236;12;Zone for commercial and industrial use (Gewerbe und Industrie);532250;1961832
3236;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);373400;1961832
3236;14;Core zone development (Kernzone Entwicklung);145166;1961832
3236;15;Zone for public buildings ;144786;1961832
3236;16;eingeschränkte Bauzonen;644;1961832
3236;17;Tourism and leisure zone (Tourismus und FreizeitZone);72027;1961832
3237;11;Zone for residential use (Wohnzone);789095;2798035
3237;12;Zone for commercial and industrial use (Gewerbe und Industrie);824832;2798035
3237;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);443271;2798035
3237;14;Core zone development (Kernzone Entwicklung);234818;2798035
3237;15;Zone for public buildings ;317462;2798035
3237;16;eingeschränkte Bauzonen;79644;2798035
3237;17;Tourism and leisure zone (Tourismus und FreizeitZone);108913;2798035
3238;11;Zone for residential use (Wohnzone);1388515;2813712
3238;12;Zone for commercial and industrial use (Gewerbe und Industrie);497647;2813712
3238;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);425768;2813712
3238;14;Core zone development (Kernzone Entwicklung);127378;2813712
3238;15;Zone for public buildings ;306602;2813712
3238;16;eingeschränkte Bauzonen;44745;2813712
3238;17;Tourism and leisure zone (Tourismus und FreizeitZone);23057;2813712
3251;11;Zone for residential use (Wohnzone);1408131;4001539
3251;12;Zone for commercial and industrial use (Gewerbe und Industrie);926756;4001539
3251;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);608833;4001539
3251;14;Core zone development (Kernzone Entwicklung);307341;4001539
3251;15;Zone for public buildings ;611436;4001539
3251;16;eingeschränkte Bauzonen;71552;4001539
3251;17;Tourism and leisure zone (Tourismus und FreizeitZone);67490;4001539
3252;11;Zone for residential use (Wohnzone);299377;497055
3252;12;Zone for commercial and industrial use (Gewerbe und Industrie);25749;497055
3252;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);109584;497055
3252;14;Core zone development (Kernzone Entwicklung);9489;497055
3252;15;Zone for public buildings ;21533;497055
3252;16;eingeschränkte Bauzonen;8471;497055
3252;17;Tourism and leisure zone (Tourismus und FreizeitZone);22852;497055
3253;11;Zone for residential use (Wohnzone);312096;664375
3253;12;Zone for commercial and industrial use (Gewerbe und Industrie);57238;664375
3253;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);179509;664375
3253;14;Core zone development (Kernzone Entwicklung);30087;664375
3253;15;Zone for public buildings ;84813;664375
3253;16;eingeschränkte Bauzonen;632;664375
3254;11;Zone for residential use (Wohnzone);1200628;3524076
3254;12;Zone for commercial and industrial use (Gewerbe und Industrie);728232;3524076
3254;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);552006;3524076
3254;14;Core zone development (Kernzone Entwicklung);484880;3524076
3254;15;Zone for public buildings ;424766;3524076
3254;16;eingeschränkte Bauzonen;17500;3524076
3254;17;Tourism and leisure zone (Tourismus und FreizeitZone);116064;3524076
3255;11;Zone for residential use (Wohnzone);664906;1345951
3255;12;Zone for commercial and industrial use (Gewerbe und Industrie);142769;1345951
3255;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);284578;1345951
3255;14;Core zone development (Kernzone Entwicklung);37304;1345951
3255;15;Zone for public buildings ;127776;1345951
3255;16;eingeschränkte Bauzonen;2567;1345951
3255;17;Tourism and leisure zone (Tourismus und FreizeitZone);86051;1345951
3256;11;Zone for residential use (Wohnzone);340977;1008322
3256;12;Zone for commercial and industrial use (Gewerbe und Industrie);208243;1008322
3256;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);254594;1008322
3256;14;Core zone development (Kernzone Entwicklung);46759;1008322
3256;15;Zone for public buildings ;79915;1008322
3256;16;eingeschränkte Bauzonen;5550;1008322
3256;17;Tourism and leisure zone (Tourismus und FreizeitZone);72284;1008322
3271;11;Zone for residential use (Wohnzone);1191953;3149212
3271;12;Zone for commercial and industrial use (Gewerbe und Industrie);676580;3149212
3271;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);603894;3149212
3271;14;Core zone development (Kernzone Entwicklung);140703;3149212
3271;15;Zone for public buildings ;525917;3149212
3271;16;eingeschränkte Bauzonen;2972;3149212
3271;17;Tourism and leisure zone (Tourismus und FreizeitZone);7193;3149212
3272;11;Zone for residential use (Wohnzone);552650;1119688
3272;12;Zone for commercial and industrial use (Gewerbe und Industrie);113467;1119688
3272;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);140963;1119688
3272;14;Core zone development (Kernzone Entwicklung);170689;1119688
3272;15;Zone for public buildings ;130824;1119688
3272;16;eingeschränkte Bauzonen;2938;1119688
3272;17;Tourism and leisure zone (Tourismus und FreizeitZone);8157;1119688
3273;11;Zone for residential use (Wohnzone);848490;1951571
3273;12;Zone for commercial and industrial use (Gewerbe und Industrie);206080;1951571
3273;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);349604;1951571
3273;14;Core zone development (Kernzone Entwicklung);187621;1951571
3273;15;Zone for public buildings ;217265;1951571
3273;16;eingeschränkte Bauzonen;790;1951571
3273;17;Tourism and leisure zone (Tourismus und FreizeitZone);141721;1951571
3274;11;Zone for residential use (Wohnzone);697090;2666931
3274;12;Zone for commercial and industrial use (Gewerbe und Industrie);922426;2666931
3274;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);459602;2666931
3274;14;Core zone development (Kernzone Entwicklung);153419;2666931
3274;15;Zone for public buildings ;363148;2666931
3274;16;eingeschränkte Bauzonen;21070;2666931
3274;17;Tourism and leisure zone (Tourismus und FreizeitZone);50176;2666931
3275;11;Zone for residential use (Wohnzone);774922;1535530
3275;12;Zone for commercial and industrial use (Gewerbe und Industrie);262939;1535530
3275;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);173098;1535530
3275;14;Core zone development (Kernzone Entwicklung);149748;1535530
3275;15;Zone for public buildings ;130480;1535530
3275;16;eingeschränkte Bauzonen;28044;1535530
3275;17;Tourism and leisure zone (Tourismus und FreizeitZone);16299;1535530
3276;11;Zone for residential use (Wohnzone);759531;1635362
3276;12;Zone for commercial and industrial use (Gewerbe und Industrie);259069;1635362
3276;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);116436;1635362
3276;14;Core zone development (Kernzone Entwicklung);313985;1635362
3276;15;Zone for public buildings ;165874;1635362
3276;16;eingeschränkte Bauzonen;2555;1635362
3276;17;Tourism and leisure zone (Tourismus und FreizeitZone);17912;1635362
3291;11;Zone for residential use (Wohnzone);839830;1610560
3291;12;Zone for commercial and industrial use (Gewerbe und Industrie);124946;1610560
3291;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);160063;1610560
3291;14;Core zone development (Kernzone Entwicklung);66363;1610560
3291;15;Zone for public buildings ;163598;1610560
3291;16;eingeschränkte Bauzonen;2998;1610560
3291;17;Tourism and leisure zone (Tourismus und FreizeitZone);252762;1610560
3292;11;Zone for residential use (Wohnzone);927669;1625990
3292;12;Zone for commercial and industrial use (Gewerbe und Industrie);215442;1625990
3292;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);140167;1625990
3292;14;Core zone development (Kernzone Entwicklung);158743;1625990
3292;15;Zone for public buildings ;144178;1625990
3292;16;eingeschränkte Bauzonen;4454;1625990
3292;17;Tourism and leisure zone (Tourismus und FreizeitZone);35337;1625990
3293;11;Zone for residential use (Wohnzone);1123018;2060504
3293;12;Zone for commercial and industrial use (Gewerbe und Industrie);288973;2060504
3293;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);185886;2060504
3293;14;Core zone development (Kernzone Entwicklung);134450;2060504
3293;15;Zone for public buildings ;306030;2060504
3293;16;eingeschränkte Bauzonen;20047;2060504
3293;17;Tourism and leisure zone (Tourismus und FreizeitZone);2100;2060504
3294;11;Zone for residential use (Wohnzone);310736;702775
3294;12;Zone for commercial and industrial use (Gewerbe und Industrie);14349;702775
3294;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);82340;702775
3294;14;Core zone development (Kernzone Entwicklung);118125;702775
3294;15;Zone for public buildings ;125773;702775
3294;17;Tourism and leisure zone (Tourismus und FreizeitZone);51452;702775
3295;11;Zone for residential use (Wohnzone);622766;1148009
3295;12;Zone for commercial and industrial use (Gewerbe und Industrie);49755;1148009
3295;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);131170;1148009
3295;14;Core zone development (Kernzone Entwicklung);177875;1148009
3295;15;Zone for public buildings ;104055;1148009
3295;16;eingeschränkte Bauzonen;6563;1148009
3295;17;Tourism and leisure zone (Tourismus und FreizeitZone);55825;1148009
3296;11;Zone for residential use (Wohnzone);709661;1549932
3296;12;Zone for commercial and industrial use (Gewerbe und Industrie);329507;1549932
3296;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);157944;1549932
3296;14;Core zone development (Kernzone Entwicklung);131648;1549932
3296;15;Zone for public buildings ;185156;1549932
3296;16;eingeschränkte Bauzonen;12742;1549932
3296;17;Tourism and leisure zone (Tourismus und FreizeitZone);23274;1549932
3297;11;Zone for residential use (Wohnzone);704882;1338338
3297;12;Zone for commercial and industrial use (Gewerbe und Industrie);193960;1338338
3297;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);158172;1338338
3297;14;Core zone development (Kernzone Entwicklung);119680;1338338
3297;15;Zone for public buildings ;119457;1338338
3297;16;eingeschränkte Bauzonen;5591;1338338
3297;17;Tourism and leisure zone (Tourismus und FreizeitZone);36596;1338338
3298;11;Zone for residential use (Wohnzone);684273;1622837
